// select class_Id, class_Name from weenie order by class_Id;
1,human
3,olthoiworker
4,admin
5,lugianlaigus
6,banderlingscout
7,drudgeskulker
8,mosswartcreeper
10,mitescamp
11,tuskermale
12,phyntoswaspred
13,ratwhite
14,cow
16,zombieundead
17,gromnie
18,reedsharkelder
19,armoredillobronze
20,aurochbull
21,corpse
23,virindi
35,basinetchainmail
36,bracersleather
37,bracersscalemail
38,bracersstuddedleather
39,breastplateleather
40,breastplateplatemail
41,breastplatescalemail
42,breastplatestuddedleather
43,breastplateyoroi
44,buckler
45,capleather
46,capmetal
47,coatleather
48,coatstuddedleather
50,cuirassleather
51,cuirassplatemail
52,cuirassscalemail
53,cuirassstuddedleather
54,cuirassyoroi
55,gauntletschainmail
56,gauntletsleather
57,gauntletsplatemail
58,gauntletsscalemail
59,gauntletsstuddedleather
60,girthleather
61,girthplatemail
62,girthscalemail
63,girthstuddedleather
64,girthyoroi
65,greavesleather
66,greavesplatemail
67,greavesscalemail
68,greavesstuddedleather
69,greavesyoroi
71,hauberkchainmail
72,hauberkplatemail
73,hauberkscalemail
74,heaume
75,helmet
76,helmhorned
77,kabuton
78,kote
80,leggingschainmail
81,leggingsleather
82,leggingsplatemail
83,leggingsscalemail
84,leggingsstuddedleather
85,mailcoif
86,pauldronsleather
87,pauldronsplatemail
88,pauldronsscalemail
89,pauldronsstuddedleather
90,pauldronsyoroi
91,shieldkite
92,shieldkitelarge
93,shieldround
94,shieldroundlarge
95,shieldtower
96,shirtchainmail
97,shirtleather
98,shirtscalemail
99,shirtstuddedleather
101,sleeveschainmail
102,sleevesleather
103,sleevesplatemail
104,sleevesscalemail
105,sleevesstuddedleather
106,sleevesyoroi
107,sollerets
108,tassetschainmail
109,tassetsleather
110,tassetsplatemail
111,tassetsscalemail
112,tassetsstuddedleather
113,tassetsyoroi
114,vambracesplatemail
115,bootsleather
116,bootsreinforcedleather
117,breeches
118,capcloth
119,cowlcloth
120,drawersquilted
121,glovescloth
122,glovessoftleather
124,jerkin
125,kimonotop
126,leggingswoolen
127,pants
128,qafiya
129,sandals
130,shirt
132,shoes
133,slippers
134,tunic
135,turban
136,backpack
137,basket
138,beltpouch
139,beltpouchsmall
140,bottle
141,bowl
142,chalice
143,chest
144,cistern
145,coffer
146,coffin
147,crate
148,cup
149,ewer
150,flagon
151,flask
152,font
153,fountain
154,goblet
155,jar
156,jug
157,keg
158,largeurn
159,largevase
160,meadcask
161,mug
162,oilcask
163,ornamentalbowl
164,phial
165,pool
166,sack
167,sarcophagus
168,tankard
169,urn
170,vase
171,vat
172,washbasin
173,waterbarrel
174,well
175,wineskin
176,winecask
177,armoredillospiny
178,armoredillobrown
179,armoredillospikey
180,armoredillosandy
181,aurochcow
182,aurochyearling
183,banderlingraver
184,banderlingcaptain
185,bandit
187,banditlord
188,banditmage
189,culthighpriest
190,cultmember
191,cultpriest
192,drudgeprowler
193,drudgeslinker
194,golemcopper
195,golemgranite
196,golemice
197,golemiron
198,golemlimestone
199,golemmagma
200,golemmud
201,golemobsidian
202,golemsandstone
203,gromniehatchling
204,zombielich
205,lugianobeloth
206,lugianlithos
208,mitematron
209,mitesquib
210,mosswartchief
211,mosswartmudlurk
212,olthoinoble
213,olthoinymph
214,olthoisoldier
215,phyntoswaspblue
216,phyntoswaspgreen
217,phyntoswaspgold
218,ratblack
219,ratgrey
220,ratbrown
221,reedshark
222,reedsharkveteran
223,reedsharkpup
224,rogue
225,roguemage
226,tumerokcaptain
227,tumerokgladiator
228,tumerokhighpriest
229,tumeroklieutenant
230,tumerokoverlord
231,tumerokpriest
232,tumerokscout
233,tumerokwarrior
234,tumerokworker
235,tuskergoldenback
236,tuskerfemale
237,virindimaster
238,virindipuppet
239,brazier
240,candelabra
241,chandelier
243,dinnerplate
244,firewood
245,greatmachine
246,hearth
247,painting1
248,painting2
249,painting3
250,painting4
251,platter
252,portalframe
253,stool
254,stoup
255,tapestry
257,workbench
258,apple
259,bread
260,cabbage
261,cheese
262,chicken
263,fish
264,grapes
265,meat
266,aurochhorn
267,bedroll
268,bench
269,buttonswitch
270,candle
271,candlestick
272,chair
273,coinstack
274,couch
275,cresset
276,desk
277,dinnertable
278,door
280,gem
281,handbell
283,lamp
284,lantern
285,leverboxswitch
286,levergearswitch
287,pedestal
290,sholantern
291,key
292,throne
293,torch
294,amulet
295,bracelet
296,crown
297,ring
298,pressure-plate
299,tripwire
300,arrow
301,axebattle
303,axehand
304,axethrowing
305,bolt
306,bowlong
307,bowshort
308,budiaq
309,club
310,clubthrowing
311,crossbowheavy
312,crossbowlight
313,dabus
314,dagger
315,daggerthrowing
316,dart
317,djarid
319,jambiya
320,javelin
321,jitte
322,jo
324,kaskara
325,kasrullah
326,katar
327,ken
328,khanjar
329,knife
331,mace
332,morningstar
333,nabut
334,nayin
336,ono
338,quarterstaff
339,scimitar
340,shamshir
341,shouyumi
342,shouono
343,shuriken
344,silifi
345,simi
348,spear
350,swordbroad
351,swordlong
352,swordshort
353,tachi
354,takuba
356,tofun
357,tungi
359,warhammer
360,yag
361,yaoji
362,yari
363,yumi
364,book
365,parchment
366,scroll
367,tome
368,portalzabooltowerbase
369,portalzabooltop
370,portalzabooltowertop
371,portalalfrethdungeon
372,portalalfrethdungeonexit
373,portalbelligtowerbase
374,portalbelligtowerbaseexit
375,portalbelligtowertop
376,portalbelligtowertopexit
377,healthpotion
378,staminapotion
379,manapotion
381,drudge-generator
382,banderling-generator
383,mosswart-generator
384,olthoi-generator
385,cow-generator
386,auroch-generator
387,lugian-generator
388,tumerok-generator
389,mite-generator
390,tusker-generator
391,phyntoswasp-generator
392,rat-generator
393,rockgolem-generator
394,undead-generator
395,gromnie-generator
396,reedshark-generator
397,armoredillo-generator
399,virindi-generator
400,arwicblacksmith2
401,blacksmith-gharundim
402,blacksmith-sho
403,arwicbowyer
404,grocer-gharundim
