// select object_Id,value from weenie_properties_string where `type`=1 order by object_Id;
1,Clay
3,Olthoi Worker
4,Womble
5,Laigus Lugian
6,Banderling Scout
7,Drudge Skulker
8,Creeper Mosswart
10,Mite Scamp
11,Male Tusker
12,Red Phyntos Wasp
13,White Rat
14,Cow
16,Undead
17,Gromnie
18,Reedshark Elder
19,Bronze Armoredillo
20,Auroch Bull
21,Corpse
23,Virindi Servant
35,Chainmail Basinet
36,Leather Bracers
37,Scalemail Bracers
38,Studded Leather Bracers
39,Leather Breastplate
40,Platemail Breastplate
41,Scalemail Breastplate
42,Studded Leather Breastplate
43,Yoroi Breastplate
44,Buckler
45,Leather Cap
46,Metal Cap
47,Leather Coat
48,Studded Leather Coat
50,Leather Cuirass
51,Platemail Cuirass
52,Scalemail Cuirass
53,Studded Leather Cuirass
54,Yoroi Cuirass
55,Chainmail Gauntlets
56,Leather Gauntlets
57,Platemail Gauntlets
58,Scalemail Gauntlets
59,Studded Leather Gauntlets
60,Leather Girth
61,Platemail Girth
62,Scalemail Girth
63,Studded Leather Girth
64,Yoroi Girth
65,Leather Greaves
66,Platemail Greaves
67,Scalemail Greaves
68,Studded Leather Greaves
69,Yoroi Greaves
71,Chainmail Hauberk
72,Platemail Hauberk
73,Scalemail Hauberk
74,Heaume
75,Helmet
76,Horned Helm
77,Kabuton
78,Kote
80,Chainmail Leggings
81,Leather Leggings
82,Platemail Leggings
83,Scalemail Leggings
84,Studded Leather Leggings
85,Chainmail Coif
86,Leather Pauldrons
87,Platemail Pauldrons
88,Scalemail Pauldrons
89,Studded Leather Pauldrons
90,Yoroi Pauldrons
91,Kite Shield
92,Large Kite Shield
93,Round Shield
94,Large Round Shield
95,Tower Shield
96,Chainmail Shirt
97,Leather Shirt
98,Scalemail Shirt
99,Studded Leather Shirt
101,Chainmail Sleeves
102,Leather Sleeves
103,Platemail Sleeves
104,Scalemail Sleeves
105,Studded Leather Sleeves
106,Yoroi Sleeves
107,Sollerets
108,Chainmail Tassets
109,Leather Tassets
110,Platemail Tassets
111,Scalemail Tassets
112,Studded Leather Tassets
113,Yoroi Tassets
114,Platemail Vambraces
115,Leather Boots
116,Studded Leather Boots
117,Breeches
118,Cap
119,Cowl
120,Quilted Drawers
121,Gloves
122,Soft Leather Gloves
124,Jerkin
125,Kimono Top
126,Leggings
127,Pants
128,Qafiya
129,Sandals
130,Shirt
132,Shoes
133,Slippers
134,Tunic
135,Turban
136,Pack
137,Basket
138,Belt Pouch
139,Small Belt Pouch
140,Bottle
141,Bowl
142,Chalice
143,Chest
144,Cistern
145,Coffer
146,Coffin
147,Crate
148,Cup
149,Ewer
150,Flagon
151,Empty Flask
152,Font
153,Fountain
154,Goblet
155,Jar
156,Jug
157,Keg
158,Large Urn
159,Large Vase
160,Mead Cask
161,Mug
162,Oil Cask
163,Ornamental Bowl
164,Phial
165,Pool
166,Sack
167,Sarcophagus
168,Tankard
169,Urn
170,Vase
171,Vat
172,Washbasin
173,Barrel
174,Well
175,Wineskin
176,Wine Cask
177,Spiny Armoredillo
178,Brown Armoredillo
179,Spikey Armoredillo
180,Sandy Armoredillo
181,Auroch Cow
182,Auroch Yearling
183,Banderling Raver
184,Banderling Captain
185,Bandit
187,Bandit Lord
188,Bandit Mage
189,Cultist High Priest
190,Cultist Cohort
191,Cultist Priest
192,Drudge Prowler
193,Drudge Slinker
194,Copper Golem
195,Granite Golem
196,Ice Golem
197,Iron Golem
198,Limestone Golem
199,Magma Golem
200,Mud Golem
201,Obsidian Golem
202,Sandstone Golem
203,Gromnie Hatchling
204,Lich
205,Obeloth Lugian
206,Lithos Lugian
208,Mite Matron
209,Mite Squib
210,Mosswart Chief
211,Mudlurk Mosswart
212,Olthoi Noble
213,Olthoi Nymph
214,Olthoi Soldier
215,Blue Phyntos Wasp
216,Green Phyntos Wasp
217,Gold Phyntos Wasp
218,Black Rat
219,Grey Rat
220,Brown Rat
221,Adult Reedshark
222,Veteran Reedshark
223,Reedshark Pup
224,Rogue
225,Rogue Mage
226,High Tumerok
227,Tumerok Gladiator
228,Tumerok High Priest
229,Tumerok Officer
230,Tumerok Taskmaster
231,Tumerok Priest
232,Tumerok Scout
233,Tumerok Warrior
234,Tumerok Worker
235,Goldenback Tusker
236,Female Tusker
237,Virindi Master
238,Virindi Puppet
239,Brazier
240,Candelabra
241,Chandelier
243,Dinner Plate
244,Wood
245,The Great Machine
246,Hearth
247,Outcast
248,Olthoi Enslavement
249,Into the Unknown
250,The Studious Mind
251,Platter
252,Stone Portal Frame
253,Stool
254,Stoup
255,Tapestry
257,Workbench
258,Apple
259,Bread
260,Cabbage
261,Cheese
262,Chicken
263,Fish
264,Grapes
265,Meat
266,Auroch Horn
267,Bedroll
268,Bench
269,Button
270,Candle
271,Candlestick
272,Chair
273,Pyreal
274,Couch
275,Cresset
276,Desk
277,Dinner Table
278,Door
280,Gem
281,Handbell
283,Lamp
284,Lantern
285,Lever
286,Lever
287,Pedestal
290,Sho Lantern
291,Key
292,Throne
293,Torch
294,Amulet
295,Bracelet
296,Crown
297,Ring
298,Pressure Plate
299,Tripwire
300,Arrow
301,Battle Axe
303,Hand Axe
304,Throwing Axe
305,Quarrel
306,Longbow
307,Shortbow
308,Budiaq
309,Club
310,Throwing Club
311,Heavy Crossbow
312,Light Crossbow
313,Dabus
314,Dagger
315,Throwing Dagger
316,Throwing Dart
317,Djarid
319,Jambiya
320,Javelin
321,Jitte
322,Jo
324,Kaskara
325,Kasrullah
326,Katar
327,Ken
328,Khanjar
329,Knife
331,Mace
332,Morning Star
333,Nabut
334,Nayin
336,Ono
338,Quarter Staff
339,Scimitar
340,Shamshir
341,Shouyumi
342,Shou-ono
343,Shouken
344,Silifi
345,Simi
348,Spear
350,Broad Sword
351,Long Sword
352,Short Sword
353,Tachi
354,Takuba
356,Tofun
357,Tungi
359,War Hammer
360,Yag
361,Yaoji
362,Yari
363,Yumi
364,Book
365,Parchment
366,Scroll
367,Tome
368,Zabool Tower Base
369,Top of Mt. Zabool
370,Top of Zabool Tower
371,Alfreth Dungeon
372,Surface
373,Bellig Tower Base
374,Surface
375,Bellig Tower
376,Bellig Top
377,Potion of Healing
378,Stamina Potion
379,Mana Potion
381,Drudge Generator
382,Banderling Generator
383,Mosswart Generator
384,Olthoi Generator
385,Cow Generator
386,Auroch Generator
387,Lugian Generator
388,Tumerok Generator
389,Mite Generator
390,Tusker Generator
391,Phyntos Wasp Generator
392,Rat Generator
393,Rock Golem Generator
394,Undead Generator
395,Gromnie Generator
396,Reedshark Generator
397,Armoredillo Generator
399,Virindi Generator
400,Carsith the Weaponsmith
401,Balariq the Smith
402,Ginkyo the Blacksmith
403,Harald the Fletcher
404,Suriya the Grocer
405,Elthina the Shady
409,Bob the Wandering Bowyer
410,Kan-ten the Shopkeeper
411,Fisana the Jeweler
412,Door
413,Chainmail Bracers
414,Chainmail Breastplate
415,Chainmail Girth
416,Chainmail Pauldrons
417,Item Aluvian Generator
418,Item Cheese Generator
419,Item Clothing Generator
420,Item Food Generator
421,Item Gharundim Generator
422,Item Shield Generator
423,Item Treasure Generator
425,Item Sho Generator
426,Syliph Tower
427,To Top of Mt. Syliph
428,Sylsfear Dungeon Portal
429,Surface
430,Exit
431,Mount Alphus
432,South Zabool
433,Base of Mt. Alphus
434,Mt. Alphus Valley
435,North Gemm
436,South Bellig
437,North Dalt
438,South Gemm
439,North Syliph
440,South Dalt
441,Base of Mt. Syliph
442,Mt. Syliph Plain
443,Westward Portal
457,Signpost
458,Leather Cowl
459,Arwic: 1 mile
460,Arwic: 2 miles
461,Arwic: 3 miles
462,Arwic 1/2 mile Sign
463,Arwic
464,Cragstone: 1 mile
465,Cragstone: 2 miles
466,Cragstone: 3 miles
467,Cragstone: 4 miles
468,Welcome to Cragstone Sign
469,Crossroads Sign
470,Crossroads Sign
471,Eastham: 1 mile
472,Eastham: 2 miles
473,Eastham: 3 miles 
474,Eastham: 1/2 mile
475,Eastham
476,Faded Sign
477,Rithwic:1 mile
478,Rithwic: 2 miles
479,Rithwic: 3 miles 
480,Rithwic: 4 miles
481,Rithwic: 1/2 mile
482,Rithwic
483,To Underground City 
484,To Underground City 
485,To Underground City 
486,To Underground City
487,Arwic Bulletin Board
488,Cragstone Bulletin Board
489,Eastham Bulletin Board
490,Rithwic Bulletin Board
491,Talisman Dungeon Sign
492,Directions to Bandit Castle
493,Arwic Lifestone
494,Arwic Livestock Pen
495,Twin Aurock Tavern
496,Miranda's Miscellaneous
497,Laquishah's Writing Materials
498,Davis the Tailor
499,The True Shot
500,Carsith's Forge
501,Ginkyo the Blacksmith
502,Rodega's Provender
504,Tutorial (Double-click me)
505,Tutorial (Part 2)
506,Tutorial (Part 3)
507,Tutorial (Part 4)
508,Tutorial (Part 5)
509,Life Stone
510,Flimsy Lockpick
511,Crude Lockpick
512,Good Lockpick
513,Plain Lockpick
514,Excellent Lockpick
515,Superb Lockpick
516,Peerless Lockpick
517,Starter Hand Axe
518,Starter Shortbow
519,Starter Budiaq
520,Starter Club
521,Starter Crossbow
522,Starter Dart
523,Starter Jambiya
524,Starter Jitte
525,Starter Jo
526,Starter Kasrullah
527,Starter Knife
528,Starter Nabut
529,Starter Quarterstaff
530,Starter Shou-ono
531,Starter Shouyumi
532,Starter Shouken
533,Starter Simi
534,Starter Spear
535,Starter Shortsword
536,Starter Tungi
537,Starter Yag
538,Starter Yaoji
539,Starter Yari
540,Lugian Axe
541,Lugian Club
542,Lugian Hammer
543,Lugian Mace
544,Lugian Morning Star
545,Reliable Lockpick
546,Egg
547,Brimstone-cap Mushroom
548,Bowl of Rice
549,Bowl of Stew
550,Baigha
551,Leather Basinet
552,Scalemail Basinet
553,Mushroom Circle Generator
554,Studded Leather Basinet
555,Door
556,Door
557,Door
558,Door
559,Door
560,Door
561,Door
562,Door
563,Door
564,Door
565,Door
566,Door
567,Door
568,Door
569,Door
570,Door
571,Door
572,Door
573,Door
574,Door
575,Door
576,Door
577,Door
578,Door
579,Door
580,Door
581,Door
582,Door
583,Door
584,Door
585,Door
586,Door
587,Door
588,Door
589,Key
590,Key
591,Key
592,Key
593,Key
594,Key
595,Key
596,Key
597,Key
598,Key
599,Key
600,Key
601,Key
602,Key
603,Key
604,Key
605,Key
606,Key
607,Key
608,Key
609,Key
610,Key
611,Chest
612,Chest
613,Chest
614,Chest
615,Chest
616,Chest
617,Chest
618,Cow
619,Revenant
620,Cake
621,Heavy Bracelet
622,Necklace
623,Heavy Necklace
624,Ring
625,Ginseng
626,Powdered Hematite
627,Alder Talisman
628,Handy Healing Kit
629,Adept Healing Kit
630,Gifted Healing Kit
631,Excellent Healing Kit
632,Peerless Healing Kit
633,Tailor 
634,Fletcher Sign
635,Healer
636,Grocery
637,Blacksmith 
638,Bowyer 
639,Chirurgeon
640,Lapidary 
641,Provisioner
642,The Leaping Stallion
643,Food, Garments, Books 
644,Smithy
645,The Gilded Tome 
646,The Royal Firkin
647,Lady of Blades
648,Byrdara the Barkeeper
649,Getram the Armorer
650,Rundiscar the Weaponsmith
651,Bowyer Bronwin
652,Grocer Parsal
653,Sodyla Thurmad the Healer
654,Degel Parson the Scrivener
655,Aderma the Lapidary
656,Farnum the Provisioner
657,Begarth Lydson the Provisioner
658,Cynsela the Tailor
659,Barkeep Ricetha
661,Luthin the Smith
662,Trothyd Fletcher
663,Ynarre the Grocer
664,Brisin the Healer
665,Urnolt the Jeweler
666,Wylreda the Scribe
667,Dortold the Tailor
668,Weaponsmith Baizai En
669,Magrom the Red, Barkeeper
670,Nuther Magromson, Barkeeper
671,Scildith Dyrson the Bowyer
672,Acina Hilmad the Grocer
673,Avalenne Hilmad the Healer
674,Jeweler Suya bint Habil
675,Magus Gondibyr Langarl
676,Merchant Ledine
677,Estorl the Ox, Weaponsmith
678,Culthea Ironshaper
679,Arms and Armor
680,Scildith's Bows
681,Hildar House 
682,Gems and Jewels
683,Ledine's Wares
684,Gondibyr Langarl's Magic Supplies
685,Thorsten's Rest
686,Copper Scarab
687,Gold Scarab
688,Silver Scarab
689,Iron Scarab
690,Pyreal Scarab
691,Lead Scarab
692,Magus Guthima the Wise
693,Barkeep Mae Lilidag
694,Barkeep Lienne
695,Cateril Carsmad the Armorer
696,Grocer Rodega Tyning
697,Healer Dragando the Leech
698,Belthew Shearstone the Jeweler
699,Dragando the Leech
700,Belthew's Baubles
701,Laqisha the Scribe
702,Shopkeep Mirinda
703,Davis the Tailor
704,The Taut String
705,Fispur's Foodstuffs
706,Thelnoth's Remedies
707,Monyra's Jewels
708,Helm and Shield
709,Ecutha's Raiments
710,Barkeeper Wilomine
712,Sedor Wystan the Blacksmith
713,Sontella Dagroff the Bowyer
714,Fispur Ansel the Grocer
715,Thelnoth Cort the Healer
716,Monyra the Jeweler
717,Scribe Renald the Younger
718,Shopkeeper Renald the Elder
719,Ecutha the Tailor
720,Sliding Door
721,Door
722,Door
723,Studded Leather Cowl
724,The Ringing Anvil
725,Peldin's Bows
726,Food and Attire
727,Chirurgeon
728,The Overlook
729,The House of Trell
730,Londigul Ellic the Armorer
731,Ystig Marson the Barkeeper
732,Barkeep Moniga
733,Fletcher Peldin Yewbender
734,Hunderth the Provisioner
735,Danifa Gondmad the Healer 
736,Ortun Trell the Jeweler
737,Arsitha Trell the Grocer
738,Idenne Sulmad the Seamstress
739,Fyrdina Ellic the Weaponsmith
740,Ashwood Talisman
741,Birch Talisman
742,Blackthorn Talisman
743,Cedar Talisman
744,Ebony Talisman
745,Elder Talisman
746,Hazel Talisman
747,Hemlock Talisman
748,Oak Talisman
749,Poplar Talisman
750,Rowan Talisman
751,Willow Talisman
752,Yew Talisman
